Player,Age,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,MPG,3PAr,FTr,TS%,AST/TOV,AST_Ratio,PPS,STL+BLK,ORB_Rate,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,Cluster,pca1,pca2,Cluster Name
2024-2025 Kris Dunn,30,48,-1.081068891066962,-0.9023598580942142,-0.6411573969729932,-0.2928207243546252,-0.1724346764983511,-0.0251947081957048,-0.8697382448123718,-0.8899673294102618,-0.2258745150042088,-0.6301500006340863,-1.402471445790772,-1.3998513186940695,-2.271856025385779,-0.3025849618857357,-0.3725446867609129,-0.3508898571377262,0.4951904458932879,3.510715471713308,-0.3806638659562127,-0.2510986211921717,1.053928478801354,-1.2376370582440923,-0.7610749429421286,-2.056470947779801,0.1040132791780402,0.4763244473451741,-1.5306762212044565,-1.1700801514894208,0.7307293859586004,1.5404509391726529,-1.1616680397935917,1.7748229794827528,0.0179845629742048,-0.4889674672825597,-0.4937707198786941,2.1292952601940263,-0.4841534228547845,-0.5626119960190291,17,-2.0364181431910366,-2.96684145711896,Rebounding Specialists
2024-2025 Kris Murray,24,47,-0.760297342337335,-0.7629817206198141,-0.2229847307386915,-0.6367270786775935,-0.4146427534058107,-0.4235097843970656,-0.3716973017645641,-0.5108749183829292,0.4929690904180304,-0.5178771681849658,-0.9552117834790064,-0.4729531833268821,-2.958625475297301,0.6981585691416896,-0.9087650325639932,-0.30032578857082,-0.6218319313362024,-0.0937110758395512,-0.3806638659562127,-0.7274710780152047,-0.7093501023635714,-0.9654970661903842,-0.5596434148273409,0.8101370122245286,-1.0175752686372015,0.01217868762192,-0.137496050455265,-1.052050903181304,-0.2080016459659966,-0.2301023564984426,-1.0520683110887867,-0.372934837410582,2.24591383357557,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,2.0654609733079115,-0.5626119960190291,24,-0.7224794144104484,-3.172969760470506,Low-Usage Role Players
2024-2025 Kristaps Porziņģis,29,30,1.3648141679964425,1.3276903414961836,0.1298484563964997,1.2203672346664347,0.9040456653125792,0.7281403272286078,0.6243845843310513,0.7156005290584411,-0.0528195729581138,0.4284224196004766,1.7283461903915844,1.5823426820525337,0.5186881951407867,0.2272204368934895,0.968006177746788,0.761519651334209,-0.5473637728542364,-0.4213862165261747,1.963263568927398,-0.5369220952859914,0.5939427619757216,1.7272565393936756,1.0518088100909608,-1.7958702241430438,0.8008345102831047,0.1318038834268825,0.7886521312359589,0.7858331061879372,-0.287763106194884,-1.0810659559682718,0.7774040834452491,1.384321558229419,-0.1291428416881493,2.04512583538023,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,16,3.1714813187232083,2.634670656222953,Transition Finishers
2024-2025 Kyle Anderson,31,39,-0.3994293500165051,-0.2452914957149004,-0.3667315847567327,-0.5679458078129997,-0.6299388217679969,0.2432350170704293,-0.0268997258083897,0.2473099036717361,-0.8115989342371458,-0.7905397612756869,-0.7067341933058036,-0.5535530211848982,-1.0895693774368287,0.3449549699555395,0.3168814721287621,0.35700710279896,0.8675312383031181,0.8893143462203197,0.908496223229773,-0.8227455693798114,-0.326028671675544,-0.5930949718010995,0.1453669335744161,-1.2746687768695293,-0.8222907943251374,-0.5668072600740977,-0.5412016681155422,-1.0351895819944303,2.304484351243954,1.33457264897834,-1.0267760660030636,1.2866962029160856,0.4278394759621915,-0.4889674672825597,2.025231468252456,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,17,-0.1868782092924821,-1.694555596026054,Rebounding Specialists
2024-2025 Kyle Filipowski,21,46,-0.3994293500165051,-0.7032482331307858,0.5741569142704452,-0.4303832660838125,-0.4146427534058107,0.1133496661352033,-0.1418322511271145,-0.466275811203243,1.238436533078132,0.6369291084345574,-0.3091700490286789,0.0106458438212156,-1.2286619242543524,0.5215567695486146,1.1212119908333826,0.9384938913183802,-0.0633207427214572,-0.2575486461828631,-0.8494493529329348,0.3205483269954682,0.9772641926637488,-0.4785097119890118,0.2460826976318099,1.0707377358612855,-0.4524767173670259,-0.0308863828678661,0.5432624420699079,0.3811613977029662,-0.3685471492472185,0.3326316366993472,0.381158910435572,-0.8610616139772491,0.1125664659714326,2.04512583538023,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,22,1.8197328969610551,-1.4120309238213555,Off-Ball Movers
2024-2025 Kyle Kuzma,29,38,0.8034639577195958,1.307779178999841,-0.6411573969729932,-0.0864769117608444,0.3927175029523876,-0.371555644022975,0.7776279514226845,1.1392920472654602,-0.5586724804774685,-1.1433972346872086,0.1380896132830862,0.6151446277563379,-1.254741776782638,-0.538054028009836,0.8148003646601935,0.3317250685155066,-0.2867252181673555,-0.91289892755611,-0.8494493529329348,1.2732932406415345,-0.8626786746387825,0.59572709874931,-2.1710956397456425,1.0707377358612855,0.7855042073479785,-0.250996743148997,-0.0187591040845954,-1.3386933633581586,-0.9514193586121644,-0.8614624464276707,-1.3387137553936588,-1.2515630352305829,-1.074961871660427,-0.4889674672825597,2.025231468252456,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,10,-0.9907557424613338,2.2664744451066583,Three-Point Specialists
2024-2025 Kyle Lowry,38,33,-1.882997762891029,-1.5594282204735277,-1.5428422085407054,-0.1552581826254378,-0.0647866423172582,0.1133496661352033,-1.712576763816354,-1.7150508122344563,-1.943112016846227,-1.031124402238088,-0.4582566031326006,-0.5938529401139064,0.4926083426125009,-0.8323903606649612,-0.8704635792923446,-0.9323766456571468,0.9419993967850842,1.5446646275935665,-0.2634674942120321,-0.918020060744418,0.5939427619757216,-1.5097770502978007,0.5482299898039915,0.2889355649510142,-0.3770044567633295,1.5960162800796216,0.3928623100003928,-0.7148244794438284,2.70329165238839,2.8168963383773966,-0.7232691249743756,0.700944071036085,-0.7176524603375668,-0.4889674672825597,-0.4937707198786941,2.1292952601940263,-0.4841534228547845,-0.5626119960190291,15,-4.145826269457135,-2.389627154597393,Iso Scorers
2024-2025 Kyrie Irving,32,45,1.6855857167260693,1.6462689414376692,0.1167805605766778,1.0140234220726538,0.7156616054956666,0.7800944676026984,1.007493002060134,1.2507898152146757,-0.2791221894799304,0.2519936828947176,0.982913419871976,0.6151446277563379,1.2576173501088812,-0.4791867614788109,-0.7172577662057501,-0.6542742685391632,0.5324245251342709,0.2339640648470723,-0.6150566094445737,0.4158228183600749,-1.0926715330515988,1.6986102244406531,0.5482299898039915,0.2889355649510142,1.7101573251504512,-0.1361565551762331,-0.1454118468799763,0.5160519671979565,0.1212700231840254,-0.1752014791132923,0.5160508842261,-0.372934837410582,0.0074754626411795,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,1.7774238855123468,21,-0.4522565511766809,4.382758344350298,Facilitating Forwards
2024-2025 Kyshawn George,21,49,-1.1612617782493686,-0.6036924206490716,-1.4644348336217738,0.3262107134267175,0.6349255798598467,-0.1204439655482043,-1.291157504314363,-1.224460633257908,-1.117773062472544,-1.2877480192646482,-0.6570386752711629,-0.714752696900931,0.0057844287511691,-0.538054028009836,-0.2576403269459669,-0.4014539257046323,-0.3239592974083384,0.0701264945037607,0.0881216210205095,-0.2510986211921717,0.9772641926637488,-0.9654970661903842,-1.5668010554012797,1.331338459498043,0.5013039760121853,1.2610657318257277,-0.5886964466638099,-1.372416005731906,-0.2478823760804401,0.0855776884661712,-1.3640060004793828,0.1151919391560849,-0.5179795540100858,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,1.7774238855123468,9,-3.713899683507359,-1.8890063851463343,Elite Scorers
2024-2025 LaMelo Ball,23,35,2.487514588550136,3.418362403612181,-0.7195647718919248,2.45843011022912,2.949358314753348,0.1046906427395216,1.007493002060134,1.3845871367537346,-0.5187367246206773,-0.6301500006340863,1.678650672356944,1.5420427631235256,0.5447680476690724,-0.5969212945408611,-0.1044345138593727,-0.30032578857082,2.170724011737523,0.7254767758770078,-0.6150566094445737,2.607136119746027,0.5939427619757216,2.772847035178975,-0.458927650769947,0.0283348413142569,1.2140451370883416,0.5576695804925486,-0.0741696790575744,-0.4787659828275953,0.0384408144847963,0.2228298819290469,-0.4787774224790425,-0.080058771470582,-0.7386706610036171,-0.4889674672825597,-0.4937707198786941,2.1292952601940263,-0.4841534228547845,-0.5626119960190291,3,-1.4660021680455109,7.134532215396525,Volume Scorers
