Player,Age,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,MPG,3PAr,FTr,TS%,AST/TOV,AST_Ratio,PPS,STL+BLK,ORB_Rate,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,Cluster,pca1,pca2
2022-2023 Devin Vassell,22,38,1.084139062858019,1.4272461539778978,-0.3928673763963766,1.1515859638018409,1.0386057080389457,0.5463008359192912,0.3562086919206931,0.7379000826482841,-0.784975096999285,-0.2612535511584046,-0.010996940820835405,-0.029654075107792357,0.16226354392088327,-1.1855939598511114,-0.37254468676091296,-0.7554024056729752,0.23455189120640674,0.2339640648470723,-0.38066386595621277,-0.2510986211921717,-1.3993286776020208,1.0110986655681276,-0.45892765076994707,1.331338459498043,1.052369403826361,0.1892239774132645,-0.5966122430885212,-0.36073673451947874,0.41884162480718184,-0.2712780145373054,-0.3523161970504234,-0.1776841267839155,-1.999762700966654,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,1.7774238855123468,10,-2.2091417467114516,3.195297530153872
2022-2023 Devonte' Graham,27,73,-0.8003937859285386,-0.2452914957149004,-1.2422806046848012,1.289148505531028,1.4153738276727716,0.24323501707042935,-1.4827117131789045,-1.4697557227461824,-1.1577088183293351,-0.4697602399924855,0.18778513131772687,0.25244535739526475,-0.11592154971416406,-0.9501248937270113,-1.1002722989222362,-1.1346329199247713,0.793063079821152,0.07012649450376074,-0.4978602377003932,-0.6321965866505982,-1.0160072469139936,-0.2636623498413475,0.24608269763180995,0.5495362885877714,-0.4418634307196311,1.782631585535363,0.4799360706722174,-0.36073673451947874,1.7410412155245063,1.1012439200914512,-0.3523161970504234,-0.37293483741058203,-0.8647798649999209,-0.4889674672825597,-0.4937707198786941,2.1292952601940263,-0.4841534228547845,-0.5626119960190291,6,-4.0820416624701314,0.28047985614511683
2022-2023 Dewayne Dedmon,33,38,0.4826924089899686,0.19275407920464188,0.5349532268109795,-0.7055083495421871,-0.6030268132227237,-0.13776201233956786,0.8542496349685008,0.7156005290584411,0.546216764893752,0.1397208504455971,0.3865672034562891,0.6554445466853462,-0.7679178629213053,0.9924949017968148,1.9638439628096516,1.7222369541054254,-0.6963000898181685,-0.7490613572127982,1.3772817102064954,0.3205483269954682,3.5838499213423347,0.30926394921909073,-0.25749612265515937,-1.2746687768695293,-1.281256479121365,-0.7103574950400523,0.6303362027417325,0.1113802587129856,-0.9688032666107679,-0.943813762505396,0.1029442144926088,0.7009440710360855,0.14409376697050863,2.04512583538023,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,15,3.964778823200778,-1.0907682505025111
2022-2023 Dillon Brooks,27,73,0.2421137474427487,0.9095559290729842,-0.9547868966487187,0.4637732551559049,0.6887495969503935,0.018100408782703938,-0.026899725808389747,0.4257063323904811,-1.1710207369482655,-1.1754751868155278,-0.2594745309940383,-0.31175350761084947,0.15357025974478802,-0.7735230941339362,-0.8704635792923446,-0.9323766456571467,-0.2867252181673555,-0.2575486461828631,-0.8494493529329348,-0.346373112556778,0.747271334250932,0.194678689407003,-1.264653763229098,-0.2322658823225003,0.9732414555996732,0.155728922587875,-0.6916018001850571,-1.2881093997975372,-0.12005952314953099,-0.5869580595019196,-1.2796985168603028,-0.8610616139772491,-0.5495068550091617,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,2.0654609733079115,-0.5626119960190291,24,-2.719629002062628,1.1010151789670564
2022-2023 Domantas Sabonis,26,79,0.9237532884932054,-0.06609103324781515,1.9070822878922804,-1.3245397873235298,-1.437299078126195,0.4250745083797465,1.5821556286537584,1.1392920472654602,1.3316199634106447,1.454916887706721,1.2810865280798196,1.4614429252655092,-0.16808125477073543,1.2279639679209151,2.308557042254489,2.050903399790316,1.9100854570506423,-0.7490613572127982,-0.38066386595621277,1.3685677320061413,0.5939427619757216,0.7532818309909302,1.7568191584927177,-0.2322658823225003,1.4807924081595305,-1.5190238186815976,1.8018740735990069,1.628899165531627,0.5303031525629346,1.5404509391726529,1.6289096679979567,-0.7634362586639156,0.1861301683026099,2.04512583538023,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,17,5.794512411213932,2.1518727370772432
2022-2023 Dominick Barlow,19,28,-1.0008760038845554,-1.3404054330137563,0.8616506223065277,-1.6684461416464984,-1.7064191635789276,-2.8047412182095495,-0.026899725808389747,-0.08718340017591032,0.29329031113407616,-0.10086379051680394,-0.5079521211672412,-0.4729531833268821,-0.3593335066448305,1.7577693667001402,-0.027831607316075462,0.7362376170507561,-0.7707682483001346,-0.5852237868694866,1.3772817102064954,-0.8227455693798114,1.8205713401774086,-1.2089907432910707,0.6489457538613854,1.0707377358612857,-0.8850271109519599,-1.715209139801736,0.3770307171509702,-0.1246782379032475,-0.3419599958375894,-0.09285016303556726,-0.12468599127890824,0.798569426349419,2.1828592315774182,-0.4889674672825597,2.025231468252456,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,16,2.9816707019233117,-4.344023341894529
2022-2023 Donovan Mitchell,26,68,2.487514588550136,2.4228042787950397,0.19518793549560937,1.8393986724477773,1.6844939131255043,0.5376418125236094,1.390601419789217,1.3176884759842051,0.3598499042287266,0.49257832385711686,1.7283461903915844,1.421143006336501,0.9185792672411672,-0.5969212945408611,-0.7172577662057501,-0.7301203713895223,0.4951904458932879,0.7254767758770078,-0.4978602377003932,1.0827442579123217,-0.4793572439507551,2.6439386178903765,0.3467984616892038,-1.0140680532327722,1.614283969102318,0.21314901657425697,0.16330421368376496,0.7352491426273159,-0.3123050939576186,-0.5046067434241941,0.7352503416357081,0.01756658384275147,-0.25525204568445314,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,1.7774238855123468,1,0.9193263108643587,5.936485378722747
2022-2023 Donte DiVincenzo,26,72,-0.760297342337335,-0.6435147456417571,-0.4451389596756643,0.8764608803434668,0.6887495969503935,0.6328910698761089,-1.2528466625414547,-1.3136588476172806,-0.1859387591474177,0.524656275985437,-0.8558207474097254,-0.9162522915459718,0.48391505843640575,-0.18485042882368577,-0.18103742040267,-0.1991976514370078,0.5324245251342709,1.3808270572502546,-0.9666457246771154,0.22527383563086142,-0.6326858162259662,-0.6074181292776106,0.24608269763180995,-0.4928666059592576,0.4988275424611264,1.3759059197984909,-0.865749321528706,0.3474387553292187,0.2746574467011163,1.169870016822889,0.34743591698793996,0.01756658384275147,0.06002096430630608,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,1.7774238855123468,9,-2.290886205273358,-0.8312435137187946
2022-2023 Dorian Finney-Smith,29,66,-1.201358221840572,-0.8824486955978711,-1.0201263757478283,0.2574294425621238,0.3927175029523876,0.11334966613520336,-1.291157504314363,-1.3136588476172806,-0.47880096876388617,-0.5820330724416061,-1.0049073015136472,-1.0371520483329961,0.014477712927264371,0.2860877034245144,-0.6023534063908044,-0.275043754287367,-0.8824704860230835,-0.2575486461828631,-0.1462711224678516,-1.0132945521090244,-0.4793572439507551,-1.094405483478983,-0.5596434148273409,0.5495362885877714,0.9862132503909334,1.275420755322323,-0.9528230822005305,-0.832853727751945,-0.3215083393686439,-0.5046067434241941,-0.8328688536791786,-0.275309482097249,1.2370402016051403,-0.4889674672825597,2.025231468252456,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,0,-2.827411889615519,-2.4162275200279053
2022-2023 Doug McDermott,31,64,0.32230663462515513,0.4117768666644134,-0.15764525163958196,1.3579297763956222,1.0386057080389457,0.7714354442070166,-0.4483189853103807,-0.39937715043371375,-0.30574602671779116,0.540695252049597,-0.6073431572365224,-0.6341528590429146,-0.037681992129307,-0.8912576271959861,-0.9087650325639931,-0.9829407142240529,-0.5845978520952195,-1.732086779272669,-0.9666457246771154,-0.4416476039213847,0.057292759012483256,0.3379102641721125,-0.15678035859776548,2.373741354045072,-0.18219168408003897,0.7682099251092819,-0.865749321528706,0.3305774341423449,-0.4196762904195822,-0.7379354723110825,0.3390051686260329,-1.837315167110583,-0.8542707646668956,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,2.0654609733079115,-0.5626119960190291,14,-2.704803923932566,0.8674851883110974
