Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
455,Alex Len,31,SAC,C,36,3,258,4.1,7.7,0.537,0.2,1.1,0.167,3.9,6.6,0.6,0.549,1.3,2.4,0.538,4.7,7.3,12,5.6,1.5,3.4,2.1,6.6,9.7,124,112,,lenal01
456,Alex Len,31,LAL,C,3,0,35,2.8,7,0.4,0,0,,2.8,7,0.4,0.4,0,0,,2.8,9.8,12.6,2.8,0,1.4,0,5.6,5.6,118,115,,lenal01
457,Blake Wesley,21,SAS,SG,33,0,291,6.5,14,0.464,0.8,3.8,0.217,5.7,10.1,0.557,0.494,2.8,3.8,0.739,1,2.8,3.8,10,2.3,0.5,4.7,2.7,16.6,103,117,,weslebl01
458,Malaki Branham,21,SAS,SG,32,0,291,8.3,19.1,0.435,3.5,8.8,0.396,4.8,10.3,0.468,0.526,2.8,3.3,0.85,0.5,5.2,5.7,4.3,1.2,0.3,4.7,2.7,22.9,96,118,,branhma01
459,Richaun Holmes,31,WAS,PF,18,4,290,7,10.9,0.642,0,0.5,0,7,10.4,0.672,0.642,3.4,4.4,0.778,5.1,9.6,14.7,3.3,0.3,2.1,1.6,4.2,17.5,137,119,,holmeri01
460,Sandro Mamukelashvili,25,SAS,PF,34,0,287,9.6,17.5,0.548,4.4,10.1,0.433,5.2,7.4,0.705,0.673,3.2,4.5,0.704,3.5,10.4,14,3,1.5,1.5,2.2,4,26.8,128,113,,mamuksa01
461,Jalen Pickett,25,DEN,SG,26,0,287,5.7,13,0.436,2.7,6.8,0.39,3,6.2,0.486,0.538,0.3,0.3,1,0.8,4.2,5,8,1.2,0.5,1.8,2.2,14.4,119,119,,pickeja02
462,Jordan Walsh,20,BOS,PF,38,1,286,3.5,9.7,0.357,1.9,6.8,0.282,1.6,2.9,0.529,0.455,1.2,2.1,0.583,2.3,4.7,6.9,1.9,1.6,1.4,1.6,3.3,10,101,112,,walshjo01
463,Taj Gibson,39,CHO,C,24,11,286,5,10.8,0.46,0.2,0.3,0.5,4.8,10.5,0.459,0.468,1.9,2.8,0.688,6.7,9.3,16,2.4,1.4,2.1,3.1,6.7,12,104,112,,gibsota01
464,Landry Shamet,27,NYK,SG,24,0,277,5.9,12.8,0.458,2.3,7.3,0.317,3.6,5.5,0.645,0.549,0.5,1.2,0.429,0.9,2.7,3.6,2.7,1.8,0.4,1.6,3.4,14.6,108,118,,shamela01
465,Jeff Dowtin,27,PHI,PG,25,0,274,6.2,15.6,0.395,1.1,4.5,0.24,5.1,11.1,0.459,0.43,2.2,3.1,0.706,0.7,4.7,5.4,6.9,1.5,0.7,0.7,2.5,15.6,110,119,,dowtije01
466,Patty Mills,36,2TM,PG,20,0,272,4.6,14.1,0.329,3,10.7,0.283,1.6,3.4,0.474,0.437,0.9,0.9,1,0.5,3.2,3.7,4.3,2.3,0.5,2.8,2.3,13.2,92,120,,millspa02
