Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,MPG,Primary_Position,3PAr,FTr,TS%,AST/TOV,AST_Ratio,PPS,STL+BLK,ORB_Rate
103,Damian Lillard,32,POR,PG,58,58,2107,12.9,27.8,0.463,5.6,15.2,0.371,7.2,12.6,0.574,0.564,11.8,12.9,0.914,1.0,5.4,6.4,9.8,1.2,0.4,4.4,2.5,43.1,126,121,CPOY-10ASNBA3,lillada01,36.328,Guard,0.547,0.464,0.644,2.227,0.206,1.287,1.6,0.156
104,Ayo Dosunmu,23,CHI,SG,80,51,2098,6.5,13.2,0.493,1.4,4.4,0.312,5.2,8.8,0.583,0.545,1.5,1.9,0.805,1.0,4.1,5.1,4.8,1.4,0.6,2.3,4.2,16.0,109,115,,dosunay01,26.225,Guard,0.333,0.144,0.57,2.087,0.227,1.14,2.0,0.196
105,Corey Kispert,23,WAS,SF,74,45,2093,6.8,13.6,0.497,3.8,8.9,0.424,3.0,4.7,0.637,0.637,1.7,2.0,0.852,0.8,4.0,4.8,2.0,0.7,0.2,1.3,2.3,19.1,124,120,,kispeco01,28.284,Forward,0.654,0.147,0.66,1.538,0.112,1.319,0.8999999999999999,0.167
106,Malik Beasley,26,2TM,SG,81,27,2093,8.4,21.3,0.395,5.4,15.0,0.357,3.1,6.4,0.484,0.52,1.1,1.5,0.769,0.8,5.6,6.4,2.8,1.5,0.2,2.0,2.4,23.3,105,117,,beaslma01,25.84,Guard,0.704,0.07,0.531,1.4,0.105,1.061,1.7,0.125
107,Malik Beasley,26,UTA,SG,55,13,1472,8.6,21.7,0.396,5.5,15.3,0.359,3.1,6.4,0.485,0.522,1.2,1.4,0.841,0.9,5.5,6.4,3.0,1.4,0.3,1.9,2.4,23.9,107,118,,beaslma01,26.764,Guard,0.705,0.065,0.535,1.579,0.11,1.071,1.7,0.141
108,Malik Beasley,26,LAL,SG,26,14,621,8.0,20.4,0.392,5.0,14.3,0.353,3.0,6.2,0.481,0.515,1.0,1.6,0.619,0.6,6.0,6.6,2.4,1.6,0.1,2.3,2.4,22.1,99,115,,beaslma01,23.885,Guard,0.701,0.078,0.524,1.043,0.093,1.047,1.7000000000000002,0.091
109,Caleb Martin,27,MIA,SF,71,49,2077,6.1,13.2,0.464,2.0,5.7,0.356,4.1,7.5,0.545,0.54,2.2,2.7,0.805,2.1,6.1,8.3,2.8,1.7,0.7,1.9,3.5,16.4,113,113,,martica02,29.254,Forward,0.432,0.205,0.57,1.474,0.147,1.14,2.4,0.256
110,Andrew Nembhard,23,IND,SG,75,63,2073,6.5,14.7,0.441,2.1,6.0,0.35,4.4,8.7,0.504,0.512,1.1,1.4,0.79,0.8,3.8,4.6,7.8,1.6,0.3,2.9,4.1,16.2,108,120,,nembhan01,27.64,Guard,0.408,0.095,0.529,2.69,0.3,1.058,1.9000000000000001,0.174
111,Keldon Johnson,23,SAS,SF,63,63,2063,11.5,25.5,0.452,3.1,9.3,0.329,8.4,16.2,0.523,0.512,5.6,7.5,0.749,1.3,6.0,7.3,4.2,1.1,0.3,3.1,2.9,31.7,108,122,,johnske04,32.746,Forward,0.365,0.294,0.55,1.355,0.116,1.101,1.4000000000000001,0.178
112,Aaron Gordon,27,DEN,PF,68,68,2055,10.2,18.1,0.564,1.4,4.1,0.347,8.8,14.0,0.628,0.603,4.5,7.5,0.608,3.9,6.7,10.6,4.8,1.3,1.2,2.3,3.1,26.4,124,115,,gordoaa01,30.221,Forward,0.227,0.414,0.617,2.087,0.168,1.234,2.5,0.368
